Test Information
****************
Project name,Armin
Operator name,K-State
Target test temperature,37
Target confining stress,0
Average dynamic strain range from 75 to 125 micro-strain
Contact stress,5
Initial modulus,1451
Axial gauge length,70
Comments
 Specimen information 
********************
Identification,Armin-13-37C (4G16013A)

 Dimensions,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Average,Std Dev.
 Diameter (mm),100.8,100.9,101.2,100.7,101.0,,100.90,0.170
 Height (mm),149.7,148.8,148.3,149.6,150.6,,149.39,0.893

Cross-sectional area (mm²),7995.4

Conditioning time,na

Properties/Comments
*********
Test date and time,Sat, Dec 7, 2019, 8:33 PM
Test results summary
,25 Hz,10 Hz,5 Hz,1 Hz,0.5 Hz,0.1 Hz
 Dynamic modulus (MPa),1878,1386,1138,655.3,526.9,298.9
 Phase angle (Degrees),30.53,31.47,31.09,31.18,30.37,29.92
 Average temperature  (°C),37.1,37.0,37.0,36.9,36.8,37.0
 Average confining pressure  (kPa),0.1,-0.1,0.0,0.0,0.0,0.0
 Average micro-strain,83,91,87,93,95,96
 Load drift (%),0.2,-0.6,-0.1,-0.1,0.0,-0.1
 Load standard error (%),3.7,3.1,1.8,1.3,1.5,4.7
 Average deformation drift (%),-323.3,-214.6,-148.8,-77.0,-47.2,19.1
 Average deformation standard error (%),8.4,6.5,4.0,3.3,3.5,4.6
 Deformation uniformity (%),38.3,38.9,38.9,38.2,37.4,35.3
 Phase uniformity (Degrees),0.6,0.7,0.8,0.8,0.7,0.5

